# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ1053+5804,                 182,    +163.3457870,     +58.0700362,   2,    +19.396183,     +0.006322,          0
                  SDSSJ1053+5804,                 182,    +163.3457870,     +58.0700362,   3,    +19.475840,     +0.004208,          0
                  SDSSJ1053+5804,                 182,    +163.3457870,     +58.0700362,   5,    +19.240526,     +0.005667,          0
                  SDSSJ1054+4637,                 445,    +163.5221660,     +46.6250694,   3,    +19.527153,     +0.065838,          0
                  SDSSJ1054+1633,                 183,    +163.6892965,     +16.5603856,   3,    +19.541185,     +0.048590,          0
                  SDSSJ1101+0531,                 185,    +165.3931661,      +5.5260737,   2,    +18.920887,     +0.026561,          0
                  SDSSJ1101+0531,                 185,    +165.3931661,      +5.5260737,   3,    +19.010069,     +0.034905,          0
                  SDSSJ1101+0531,                 185,    +165.3931661,      +5.5260737,   4,    +18.913162,     +0.030975,          0
                  SDSSJ1101+0531,                 185,    +165.3931661,      +5.5260737,   5,    +19.007404,     +0.047397,          0
                  DELSJ1104+2134,                 427,    +166.0899580,     +21.5746666,   3,    +19.932419,     +0.103001,          0
            PSOJ167.4726+56.9521,                 186,    +167.4726271,     +56.9521143,   3,    +20.613163,     +0.191506,          0
                  SDSSJ1119+3452,                 188,    +169.8360000,     +34.8800300,   3,    +19.790142,     +0.090473,          0
                  ULASJ1120+0641,                 189,    +170.0061600,      +6.6900833,   2,    +20.260450,     +0.035804,          0
                  ULASJ1120+0641,                 189,    +170.0061600,      +6.6900833,   3,    +20.183794,     +0.053596,          0
                  ULASJ1120+0641,                 189,    +170.0061600,      +6.6900833,   4,    +20.156404,     +0.048322,          0
                  ULASJ1120+0641,                 189,    +170.0061600,      +6.6900833,   5,    +19.613373,     +0.039563,          0
                  SDSSJ1122+1342,                 190,    +170.7085131,     +13.7101246,   2,    +20.630530,     +0.115160,          0
                  SDSSJ1122+1342,                 190,    +170.7085131,     +13.7101246,   3,    +21.077211,     +0.072570,          0
                  SDSSJ1122+1342,                 190,    +170.7085131,     +13.7101246,   4,    +20.691220,     +0.043901,          0
                  SDSSJ1122+1342,                 190,    +170.7085131,     +13.7101246,   5,    +20.494707,     +0.037514,          0
                  SDSSJ1123-0044,                 191,    +170.7964583,      -0.7385111,   2,    +20.455952,     +0.154161,          0
                  SDSSJ1123-0044,                 191,    +170.7964583,      -0.7385111,   3,    +20.102365,     +0.098743,          0
                  SDSSJ1123-0044,                 191,    +170.7964583,      -0.7385111,   4,    +20.144476,     +0.200244,          0
                  SDSSJ1123-0044,                 191,    +170.7964583,      -0.7385111,   5,    +20.221280,     +0.207115,          0
                  SDSSJ1125+4448,                 192,    +171.3171439,     +44.8124751,   3,    +19.461708,     +0.071113,          0
                  SDSSJ1126+1734,                 193,    +171.6582060,     +17.5829312,   3,    +19.572770,     +0.066526,          0
            PSOJ172.1770+26.8866,                 194,    +172.1770011,     +26.8866654,   3,    +20.275830,     +0.150336,          0
                  SDSSJ1128+5759,                 195,    +172.2410328,     +57.9860676,   3,    +19.136090,     +0.045512,          0
                  SDSSJ1132+1209,                 196,    +173.1937500,     +12.1504722,   2,    +19.379084,     +0.045159,          0
                  SDSSJ1132+1209,                 196,    +173.1937500,     +12.1504722,   3,    +19.198202,     +0.039516,          0
                  SDSSJ1132+1209,                 196,    +173.1937500,     +12.1504722,   4,    +18.941948,     +0.031542,          0
                  SDSSJ1132+1209,                 196,    +173.1937500,     +12.1504722,   5,    +18.980188,     +0.054887,          0
                 SUVAWJ1133+1603,                 197,    +173.2865833,     +16.0654722,   2,    +19.722952,     +0.053179,          0
                 SUVAWJ1133+1603,                 197,    +173.2865833,     +16.0654722,   3,    +19.817700,     +0.062335,          0
                 SUVAWJ1133+1603,                 197,    +173.2865833,     +16.0654722,   4,    +19.628792,     +0.073883,          0
                 SUVAWJ1133+1603,                 197,    +173.2865833,     +16.0654722,   5,    +19.471760,     +0.077683,          0
                 SUVAWJ1134+0828,                 198,    +173.5592917,      +8.4814722,   2,    +20.247871,     +0.047087,          0
                 SUVAWJ1134+0828,                 198,    +173.5592917,      +8.4814722,   3,    +20.319270,     +0.055902,          0
                 SUVAWJ1134+0828,                 198,    +173.5592917,      +8.4814722,   4,    +19.919317,     +0.063958,          0
